no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Meal Plan 3,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online
2,1,2,1,0,-0.6915647719573013,0,0,0,1.636392003989328,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,1,1,1,0,0.1470331786585465,0,0,0,0.5122269472051805,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,3,0,4.04884308777395,0,0,0,-0.9534566078425055,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,2,5,0,1.2768109732382302,0,0,0,-0.8894218894180921,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,2,0,1.195280616928356,0,0,0,0.7541358834751869,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False
2,1,0,3,0,-0.13249947154673608,0,0,0,0.25608807350752655,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,1,2,0,2.185292086405399,0,0,0,-0.24195973646013372,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,1,3,0,-0.92450864712837,0,0,0,-1.0587581448070966,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True
2,0,2,5,0,0.042208434831565535,0,0,0,-0.5646947173191776,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,2,2,0,0,-0.342148959200698,0,0,0,2.1771296262399304,1,1,False,False,False,False,False,False,False,True,False,False,False,False,True
2,0,1,5,1,0.2052691474513137,0,0,0,0.30731584824705727,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,4,11,0,0.8109232228960926,0,0,0,0.3961106577955774,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,1,0,-0.9594502284040304,0,0,0,0.7199840336488333,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True
1,0,1,2,0,1.1021030668599285,0,0,0,0.4695371349222381,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,0,4,0,0.07715001610722586,0,0,0,-0.3885280919649025,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,2,0,-0.342148959200698,0,0,0,-0.6119381095789671,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False
2,0,0,3,0,2.255175248956719,0,0,0,0.1849383863692894,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,2,0,0.5663321539664704,0,0,0,0.30731584824705727,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,2,0,-0.9012142596112631,0,0,0,1.0102747571728408,1,0,False,False,True,False,False,False,False,False,False,False,False,False,True
3,0,2,2,0,-0.8779198720941562,0,0,0,1.9494506273975716,2,0,False,False,False,False,False,True,False,False,False,False,False,False,True
2,0,2,0,0,-0.9710974221625838,0,0,0,1.2664136308704945,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,1,2,0,-0.38873773423491176,0,0,0,-0.6830877967172043,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True
1,0,2,1,0,0.35668266631250845,0,0,0,-1.2095954815401595,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False
2,2,0,2,0,0.042208434831565535,0,0,0,2.3564268378282884,0,1,False,False,False,False,False,False,False,True,False,False,False,False,True
2,0,1,2,0,1.2535165857211232,0,0,0,0.4695371349222381,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,1,0,0.07715001610722586,0,0,0,-0.3842591107366081,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,1,2,3,0,0.11209159738288618,0,0,0,0.7683658209028343,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,1,1,3,0,-0.92450864712837,0,0,0,0.1564785115139945,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,1,2,0,-0.2955601841664842,0,0,0,0.07679086191916894,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True
2,0,2,2,0,3.1869507496409946,0,0,0,0.04263901209281501,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,4,0,-0.21402982785661015,0,0,0,-0.42979491050507973,2,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,1,1,4,0,1.0671614855842684,0,0,0,0.5762616656295939,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,1,5,0,0.1819747599342068,0,0,0,-1.4071070130359058,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True
1,0,0,1,0,-0.8196839033013891,0,0,0,-0.6688578592895569,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,0,1,0,-0.6449759969230875,0,0,0,-0.2647276363443695,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,2,0,0.042208434831565535,0,0,0,0.7214070273915976,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,4,0,-0.7498007407500684,0,0,0,0.8537454454687189,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,4,0,-0.92450864712837,0,0,0,-0.9534566078425055,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,1,3,0,0.5779793477250238,0,0,0,0.4652681536939437,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,1,0,-0.9827446159211373,0,0,0,-2.945647847713147,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,1,3,0,-0.5634456406132133,0,0,0,1.203801906188846,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,5,0,-0.47026809054478586,0,0,0,-0.8111572335660312,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,2,3,0,0.9623367417572873,0,0,0,-0.8894218894180921,2,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,2,3,0,0.6711568977934513,0,0,0,-0.09112239972707098,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,1,0,-0.7032119657158546,0,0,0,-0.8054652585949722,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,0,2,0,0.19362195369276025,0,0,0,-0.05697054990071705,0,1,True,False,False,False,False,False,False,False,False,False,False,False,True
2,1,2,2,0,-0.9478030346454769,0,0,0,-0.6233220595210852,2,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,0,1,3,0,0.2635051162440809,0,0,0,0.12801863665869964,2,0,False,False,True,False,False,False,False,False,False,False,False,False,True
1,0,0,1,0,-0.9012142596112631,1,1,17,-1.09575598211898,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False
2,0,2,2,0,-0.342148959200698,0,0,0,2.319429000516405,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False
2,2,0,1,0,-0.8546254845770493,0,0,0,3.3155246204517255,0,1,False,False,False,False,False,False,False,True,False,False,False,False,True
1,0,1,0,0,-0.9943918096796907,0,0,0,-0.6688578592895569,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True
2,0,2,1,0,-0.5634456406132133,0,0,0,-0.8111572335660312,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False
